Date,IXIC
1972/7/3,130.589996
1972/7/5,131.279999
1972/7/6,131.860001
1972/7/7,131.5
1972/7/10,130.850006
1972/7/11,130.470001
1972/7/12,130.110001
1972/7/13,129.029999
1972/7/14,129.380005
1972/7/17,128.399994
1972/7/18,127.540001
1972/7/19,127.769997
1972/7/20,127.089996
1972/7/21,127.629997
1972/7/24,128.770004
1972/7/25,128.470001
1972/7/26,128.649994
1972/7/27,128.360001
1972/7/28,128.149994
1972/7/31,127.75
1972/8/1,128.449997
1972/8/2,129.389999
1972/8/3,130.309998
1972/8/4,130.940002
1972/8/7,130.970001
1972/8/8,130.610001
1972/8/9,130.75
1972/8/10,130.839996
1972/8/11,131.679993
1972/8/14,131.699997
1972/8/15,131.479996
1972/8/16,131.460007
1972/8/17,130.889999
1972/8/18,131.429993
1972/8/21,131.289993
1972/8/22,131.289993
1972/8/23,131.100006
1972/8/24,130.399994
1972/8/25,130.309998
1972/8/28,129.770004
1972/8/29,129.440002
1972/8/30,129.779999
1972/8/31,129.949997
1972/9/1,130.699997
1972/9/5,130.330002
1972/9/6,129.630005
1972/9/7,129.210007
1972/9/8,129.130005
1972/9/11,128.259995
1972/9/12,127.18
1972/9/13,127.510002
1972/9/14,127.580002
1972/9/15,127.669998
1972/9/18,127.610001
1972/9/19,127.419998
1972/9/20,127.510002
1972/9/21,127.300003
1972/9/22,127.459999
1972/9/25,126.82
1972/9/26,127.07
1972/9/27,128.550003
1972/9/28,129.130005
1972/9/29,129.610001
1972/10/2,129.300003
1972/10/3,129.479996
1972/10/4,129.289993
1972/10/5,128.009995
1972/10/6,128.130005
1972/10/9,128.509995
1972/10/10,129.020004
1972/10/11,128.570007
1972/10/12,127.870003
1972/10/13,127.190002
1972/10/16,125.870003
1972/10/17,126.43
1972/10/18,127.050003
1972/10/19,126.910004
1972/10/20,128
1972/10/23,128.660004
1972/10/24,128.910004
1972/10/25,128.889999
1972/10/26,129.369995
1972/10/27,129.529999
1972/10/30,129.460007
1972/10/31,130.240005
1972/11/1,131.589996
1972/11/2,132.119995
1972/11/3,133.339996
1972/11/6,133.580002
1972/11/8,133.059998
1972/11/9,132.820007
1972/11/10,133.119995
1972/11/13,132.770004
1972/11/14,132.899994
1972/11/15,132.449997
1972/11/16,132.619995
1972/11/17,132.330002
1972/11/20,132.119995
1972/11/21,132.190002
1972/11/22,132.490005
1972/11/24,133.020004
1972/11/27,132.570007
1972/11/28,132.710007
1972/11/29,132.729996
1972/11/30,132.960007
1972/12/1,133.940002
1972/12/4,134.139999
1972/12/5,134.279999
1972/12/6,134.679993
1972/12/7,135.059998
1972/12/8,135.149994
1972/12/11,134.830002
1972/12/12,134.270004
1972/12/13,133.660004
1972/12/14,133.330002
1972/12/15,133.529999
1972/12/18,132.539993
1972/12/19,132.389999
1972/12/20,131.929993
1972/12/21,131.080002
1972/12/22,131.279999
1972/12/26,131.179993
1972/12/27,131.929993
1972/12/29,133.729996
1973/1/2,134.630005
1973/1/3,135.380005
1973/1/4,135.440002
1973/1/5,135.910004
1973/1/8,136.020004
1973/1/9,135.990005
1973/1/10,136.059998
1973/1/11,136.839996
1973/1/12,136.009995
1973/1/15,134.600006
1973/1/16,134.029999
1973/1/17,134.070007
1973/1/18,134.339996
1973/1/19,133.869995
1973/1/22,133.149994
1973/1/23,132.440002
1973/1/24,130.490005
1973/1/26,129.759995
1973/1/29,128.460007
1973/1/30,128.220001
1973/1/31,128.399994
1973/2/1,126.940002
1973/2/2,126.480003
1973/2/5,126
1973/2/6,126.269997
1973/2/7,124.989998
1973/2/8,123.970001
1973/2/9,125.860001
1973/2/12,126.879997
1973/2/13,127.190002
1973/2/14,125.419998
1973/2/15,124.43
1973/2/16,124.550003
1973/2/20,125.010002
1973/2/21,123.949997
1973/2/22,123.68
1973/2/23,122.339996
1973/2/26,121.269997
1973/2/27,119.800003
1973/2/28,120.410004
1973/3/1,119.529999
1973/3/2,120.110001
1973/3/5,120.550003
1973/3/6,121.910004
1973/3/7,122.279999
1973/3/8,122.110001
1973/3/9,121.989998
1973/3/12,121.860001
1973/3/13,122.089996
1973/3/14,122.099998
1973/3/15,121.599998
1973/3/16,121.220001
1973/3/19,119.940002
1973/3/20,119.260002
1973/3/21,117.889999
1973/3/22,115.690002
1973/3/23,115.470001
1973/3/26,115.540001
1973/3/27,116.889999
1973/3/28,117.139999
1973/3/29,118.190002
1973/3/30,117.459999
1973/4/2,115.790001
1973/4/3,114.470001
1973/4/4,112.889999
1973/4/5,112.019997
1973/4/6,113.269997
1973/4/9,114.010002
1973/4/10,114.809998
1973/4/11,115.290001
1973/4/12,115.589996
1973/4/13,115.220001
1973/4/16,114.550003
1973/4/17,113.639999
1973/4/18,113.709999
1973/4/19,114.150002
1973/4/23,113.019997
1973/4/24,111.230003
1973/4/25,109.370003
1973/4/26,109.720001
1973/4/27,108.400002
1973/4/30,107.849998
1973/5/1,107.959999
